District ,Mandal,GP,female,male,transgender
KHAMMAM,MADHIRA,JALIMUDI,233,174,3
KHAMMAM,MADHIRA,KHAJIPURAM,91,28,
KHAMMAM,MADHIRA,KHAMMAMPADU,517,322,1
KHAMMAM,MADHIRA,MADHIRA,543,347,3
KHAMMAM,MADHIRA,MADUPALLI,77,49,
KHAMMAM,MADHIRA,MAHADEVPURAM,492,318,2
KHAMMAM,MADHIRA,MALLARAM,457,337,
KHAMMAM,MADHIRA,MATOOR,525,347,2
KHAMMAM,MADHIRA,MATOORPETA,400,258,1
KHAMMAM,MADHIRA,MUNAGALA,247,165,
KHAMMAM,MADHIRA,NAGAVARAPPADU,301,206,
KHAMMAM,MADHIRA,NAKKALAGARUVU,138,114,1
KHAMMAM,MADHIRA,NIDANAPURAM,461,309,1
KHAMMAM,MADHIRA,RAYAPATNAM,506,354,1
KHAMMAM,MADHIRA,SIDDINENIGUDEM,369,251,1
KHAMMAM,MADHIRA,SIRIPURAM,855,552,6
KHAMMAM,MADHIRA,TONDALA GOPAVARAM,181,104,1
KHAMMAM,MADHIRA,VANGAVEEDU,494,339,2
KHAMMAM,MANUGURU,PAGIDERU,679,449,2
KHAMMAM,MANUGURU,RAMANJARAM,1453,976,3
KHAMMAM,MANUGURU,SAMITHSINGARAM,3994,2507,12
KHAMMAM,MUDIGONDA,AMMAPETA,311,198,3
KHAMMAM,MUDIGONDA,BANAPURAM,1009,671,1
KHAMMAM,MUDIGONDA,CHIRUMARRI,615,435,1
KHAMMAM,MUDIGONDA,EDAVALLI,657,493,1
KHAMMAM,MUDIGONDA,GANDASIRI,711,449,1
KHAMMAM,MUDIGONDA,GOKINAPALLI,832,455,
KHAMMAM,MUDIGONDA,KAMALAPURAM,773,536,4
KHAMMAM,MUDIGONDA,KATKUR,261,145,1
KHAMMAM,MUDIGONDA,LAKSHMIPURAM,341,238,
KHAMMAM,MUDIGONDA,MADHAPURAM,616,408,3
KHAMMAM,MUDIGONDA,MALLANNAPALEM,262,179,
KHAMMAM,MUDIGONDA,MALLARAM,171,102,
KHAMMAM,MUDIGONDA,MEDAPALLI,506,292,
KHAMMAM,MUDIGONDA,MUDIGONDA,1407,939,7
KHAMMAM,MUDIGONDA,MUTHARAM,837,595,3
KHAMMAM,MUDIGONDA,PAMMI,511,354,3
KHAMMAM,MUDIGONDA,PANDREGUPALLI,392,262,
KHAMMAM,MUDIGONDA,PEDAMANDAVA,808,508,2
KHAMMAM,MUDIGONDA,SUVARNAPURAM,302,184,
KHAMMAM,MUDIGONDA,VALLABHI,1320,779,
KHAMMAM,MUDIGONDA,VALLAPURAM,407,295,1
KHAMMAM,MUDIGONDA,VENKATAPURAM,370,205,1
KHAMMAM,MULKALAPALLE,CHAPARALAPALLI,771,588,1
KHAMMAM,MULKALAPALLE,JAGANNADHAPURAM,2051,1688,5
