district_,mandal,wardname,female,male,transgender,total_illiterates,total_illiterates_by_ward,percentage_male,percentage_female,rank_by_illiterates
KHAMMAM,GARLA,GOPALAPURAM,532,363.0,2.0,895.0,895.0,40.5586592178771,59.44134078212291,291
KHAMMAM,GARLA,MARRIGUDEM,628,376.0,1.0,1004.0,2572.0,14.618973561430792,24.416796267496114,20
KHAMMAM,GARLA,MULKANOOR,1831,1252.0,7.0,3083.0,3083.0,40.60979565358417,59.39020434641583,11
KHAMMAM,GARLA,POCHARAM,746,532.0,6.0,1278.0,2282.0,23.31288343558282,32.690622261174404,31
KHAMMAM,GARLA,PULLURU,1091,697.0,4.0,1788.0,1788.0,38.982102908277405,61.017897091722595,72
KHAMMAM,GARLA,RAMPURAM,565,373.0,2.0,938.0,938.0,39.76545842217484,60.23454157782516,271
KHAMMAM,GARLA,SEETHAMPETA,603,378.0,5.0,981.0,1564.0,24.168797953964194,38.55498721227622,109
KHAMMAM,GARLA,SERIPURAM,571,407.0,2.4959349593495936,978.0,978.0,41.61554192229039,58.38445807770961,252
KHAMMAM,GUNDALA,ALLAPALLI,985,737.0,1.0,1722.0,1722.0,42.79907084785133,57.20092915214866,81
KHAMMAM,GUNDALA,ANANTHOGU,919,632.0,1.0,1551.0,1551.0,40.74790457769181,59.252095422308194,112
KHAMMAM,GUNDALA,GUNDALA,1994,350.0,3.0,2344.0,2344.0,14.93174061433447,85.06825938566553,27
KHAMMAM,GUNDALA,MARKODU,1138,796.0,2.0,1934.0,1934.0,41.15822130299897,58.84177869700103,59
KHAMMAM,GUNDALA,SAYANNAPALLI,642,488.0,3.0,1130.0,1130.0,43.1858407079646,56.81415929203539,198
KHAMMAM,GUNDALA,SETTIPALLI,526,394.0,1.0,920.0,920.0,42.82608695652174,57.173913043478265,279
KHAMMAM,JULURPAD,ANANTHARAM,375,257.0,1.0,632.0,1758.0,14.618885096700796,21.331058020477816,76
KHAMMAM,JULURPAD,BETHALAPADU,944,731.0,2.0,1675.0,1675.0,43.64179104477612,56.35820895522387,90
KHAMMAM,JULURPAD,GUNDEPUDI,1179,794.0,1.0,1973.0,1973.0,40.2432843385707,59.7567156614293,55
