district,mandal,gp,female,male,transgender
KHAMMAM,KAMEPALLE,BASITH NAGAR,609,388.0,1.0
KHAMMAM,KAMEPALLE,GARIDEPALLI,300,219.0,1.0
KHAMMAM,KAMEPALLE,GOVINDRALA,1156,847.0,2.4959349593495936
KHAMMAM,KAMEPALLE,JASTHIPALLI,602,413.0,3.0
KHAMMAM,KAMEPALLE,KAMEPALLI,1018,648.0,1.0
KHAMMAM,KAMEPALLE,KEPTAN BANJAR,310,211.0,1.0
KHAMMAM,KAMEPALLE,KOMMINEPALLI,1258,843.0,7.0
KHAMMAM,KAMEPALLE,KOTHA LINGALA,242,143.0,2.4959349593495936
KHAMMAM,KAMEPALLE,LINGALA,193,106.0,2.4959349593495936
KHAMMAM,KAMEPALLE,MADDULAPALLI,865,607.0,2.0
KHAMMAM,KAMEPALLE,MUCHERLA,621,398.0,1.0
KHAMMAM,KAMEPALLE,NEMILIPURI,316,241.0,2.4959349593495936
KHAMMAM,KAMEPALLE,PINJARAMADUGU,426,289.0,2.0
KHAMMAM,KAMEPALLE,PONNEKAL,1025,731.0,2.0
KHAMMAM,KAMEPALLE,SATHANIGUDEM,320,215.0,1.0
KHAMMAM,KAMEPALLE,THALLAGUDEM,342,227.0,5.0
KHAMMAM,KAMEPALLE,VOOTUKUR,567,379.0,2.0
KHAMMAM,KHAMMAM (RURAL),AREKODU,456,279.0,2.0
KHAMMAM,KHAMMAM (RURAL),AREMPALA,550,333.0,2.0
KHAMMAM,KHAMMAM (RURAL),CHINTAPALLI,343,234.0,2.4959349593495936
KHAMMAM,KHAMMAM (RURAL),DAREDU,613,382.0,1.0
KHAMMAM,KHAMMAM (RURAL),EDULAPURAM,1175,710.0,6.0
KHAMMAM,KHAMMAM (RURAL),GOLLAPADU,567,361.0,2.4959349593495936
KHAMMAM,KHAMMAM (RURAL),GUDIMALLA,905,615.0,4.0
KHAMMAM,KHAMMAM (RURAL),GUDURUPADU,340,232.0,2.4959349593495936
KHAMMAM,KHAMMAM (RURAL),GURRALAPADU,248,158.0,1.0
KHAMMAM,KHAMMAM (RURAL),KACHIRAJUGUDEM,433,273.0,2.0
KHAMMAM,KHAMMAM (RURAL),KAIKONDAIGUDEM,257,161.0,2.4959349593495936
KHAMMAM,KHAMMAM (RURAL),KAMANCHIKAL,482,345.0,2.4959349593495936
KHAMMAM,KHAMMAM (RURAL),KONDAPURAM,441,301.0,2.4959349593495936
KHAMMAM,KHAMMAM (RURAL),M.VENKATAYAPALEM,1333,826.0,3.0
KHAMMAM,KHAMMAM (RURAL),MADDULAPALLI,313,149.0,1.0
KHAMMAM,KHAMMAM (RURAL),MALLEMADUGU,425,271.0,2.0
KHAMMAM,KHAMMAM (RURAL),MANGALAGUDEM,638,450.0,2.0
KHAMMAM,KHAMMAM (RURAL),MUTHAGUDEM,887,593.0,5.0
KHAMMAM,KHAMMAM (RURAL),PEDDA THANDA,1339,615.0,6.0
KHAMMAM,KHAMMAM (RURAL),POLEPALLI,672,387.0,3.0
KHAMMAM,KHAMMAM (RURAL),PONNEKAL,437,289.0,2.0
KHAMMAM,KHAMMAM (RURAL),SEETHARAMPURAM (KASNA T,310,218.0,2.4959349593495936
KHAMMAM,KHAMMAM (RURAL),TALLAMPADU,765,455.0,2.0
KHAMMAM,KHAMMAM (RURAL),TANAGAMPADU,285,219.0,2.4959349593495936
KHAMMAM,KHAMMAM (RURAL),TELDARUPALLI,969,642.0,1.0
KHAMMAM,KHAMMAM (RURAL),THIRTHALA,757,530.0,1.0
KHAMMAM,KHAMMAM (RURAL),VENKATAGIRI,802,573.0,3.0
KHAMMAM,KHAMMAM (URBAN),ALLIPURAM,40,28.0,2.4959349593495936
KHAMMAM,KHAMMAM (URBAN),BALLEPALLI,72,37.0,2.4959349593495936
KHAMMAM,KHAMMAM (URBAN),BUDIDEMPADU,516,310.0,2.4959349593495936
KHAMMAM,KHAMMAM (URBAN),CHIMMAPUDI,562,424.0,2.4959349593495936
KHAMMAM,KHAMMAM (URBAN),DHAMSALAPURAM,20,5.0,2.4959349593495936
KHAMMAM,KHAMMAM (URBAN),EERLAPUDI,851,622.0,1.0
KHAMMAM,KHAMMAM (URBAN),GANESWARAM,329,222.0,2.0
KHAMMAM,KHAMMAM (URBAN),GOLLAGUDEM,58,22.0,2.4959349593495936
KHAMMAM,KHAMMAM (URBAN),KHANAPURAM (HAVELI),47,27.0,2.4959349593495936
KHAMMAM,KHAMMAM (URBAN),KOTAPADU,386,264.0,2.4959349593495936
KHAMMAM,KHAMMAM (URBAN),KOTHAGUDEM,18,9.0,2.4959349593495936
KHAMMAM,KHAMMAM (URBAN),KOYACHALKA,300,195.0,2.4959349593495936
KHAMMAM,KHAMMAM (URBAN),M.PALLE CHINTHAGURTHI,488,313.0,2.4959349593495936
KHAMMAM,KHAMMAM (URBAN),MALLEPALLI,742,427.0,5.0
KHAMMAM,KHAMMAM (URBAN),MANCHUGONDA,564,350.0,3.0
KHAMMAM,KHAMMAM (URBAN),PANGIDI,967,649.0,2.0
KHAMMAM,KHAMMAM (URBAN),PAPADAPALLE,660,379.0,2.4959349593495936
KHAMMAM,KHAMMAM (URBAN),RAGHUNADHA PALEM,1220,717.0,3.0
KHAMMAM,KHAMMAM (URBAN),RAMKYA THANDA,1224,817.0,5.0
KHAMMAM,KHAMMAM (URBAN),REGULA CHALKA,208,129.0,2.4959349593495936
KHAMMAM,KHAMMAM (URBAN),SIVAIGUDEM,165,91.0,1.0
KHAMMAM,KHAMMAM (URBAN),V.VENKATAYAPALEM,798,449.0,4.0
KHAMMAM,KHAMMAM (URBAN),VELUGUMATLA,31,24.0,2.4959349593495936
KHAMMAM,KHAMMAM (URBAN),VEPAKUNTLA,494,286.0,2.4959349593495936
KHAMMAM,KONIJERLA,AMMAPALEM,628,396.0,1.0
KHAMMAM,KONIJERLA,CHINA GOPATHI,422,260.0,2.4959349593495936
KHAMMAM,KONIJERLA,CHINA MUNAGALA,451,270.0,2.0
KHAMMAM,KONIJERLA,DUDDEPUDI,324,242.0,1.0
KHAMMAM,KONIJERLA,GOPARAM,266,159.0,1.0
KHAMMAM,KONIJERLA,GUBBAGURTHY,997,756.0,1.0
KHAMMAM,KONIJERLA,GUNDRATHI MADUGU,695,432.0,1.0
KHAMMAM,KONIJERLA,KONDAVANAMALA,594,380.0,2.0
KHAMMAM,KONIJERLA,KONIJERLA,1334,879.0,3.0
KHAMMAM,KONIJERLA,LALAPURAM,407,282.0,3.0
KHAMMAM,KONIJERLA,LINGA GUDEM,499,344.0,3.0
KHAMMAM,KONIJERLA,MALLUPALLI,356,237.0,1.0
KHAMMAM,KONIJERLA,PALLIPADU,864,566.0,2.0
KHAMMAM,KONIJERLA,PEDA GOPATHI,827,521.0,3.0
KHAMMAM,KONIJERLA,PEDA MUNAGALA,489,315.0,1.0
KHAMMAM,KONIJERLA,RAMANARSAIAH NAGAR,399,281.0,2.4959349593495936
KHAMMAM,KONIJERLA,SALEBANJAR,649,453.0,2.0
KHAMMAM,KONIJERLA,SINGARAIPALEM,614,433.0,2.4959349593495936
KHAMMAM,KONIJERLA,TANIKELLA,1346,816.0,3.0
KHAMMAM,KONIJERLA,TEEGALABANJAR,269,155.0,1.0
KHAMMAM,KONIJERLA,THUMMALAPALLI,701,530.0,5.0
KHAMMAM,KONIJERLA,UPPALACHALAKA,559,404.0,6.0
KHAMMAM,KOTHAGUDEM,3-Incline,500,249.0,5.0
KHAMMAM,KOTHAGUDEM,ANISETTIPALLI,269,144.0,2.4959349593495936
KHAMMAM,KOTHAGUDEM,BANGARU CHELKA,602,525.0,6.0
KHAMMAM,KOTHAGUDEM,CHATAKONDA (R),511,345.0,2.4959349593495936
KHAMMAM,KOTHAGUDEM,CHUNCHUPALLE,515,350.0,2.4959349593495936
KHAMMAM,KOTHAGUDEM,GAREEBPETA,550,354.0,2.0
KHAMMAM,KOTHAGUDEM,KARUKONDA,1426,883.0,3.0
KHAMMAM,KOTHAGUDEM,LAXMIDEVIPALLE,1851,1142.0,4.0
KHAMMAM,KOTHAGUDEM,MYLARAM,509,407.0,2.0
KHAMMAM,KOTHAGUDEM,NARSIMHANAGAR,299,201.0,3.0
KHAMMAM,KOTHAGUDEM,PENAGADAPA,836,679.0,5.0
KHAMMAM,KOTHAGUDEM,PENUBALLI,562,408.0,1.0
KHAMMAM,KOTHAGUDEM,RAGHAVAPURAM,356,264.0,2.0
KHAMMAM,KOTHAGUDEM,REGALLA,1449,1059.0,7.0
KHAMMAM,KOTHAGUDEM,RUDRAMPUR,1281,704.0,1.0
KHAMMAM,KOTHAGUDEM,SARVARAM,1002,698.0,5.0
KHAMMAM,KOTHAGUDEM,SEETAMPETA,568,374.0,2.0
KHAMMAM,KOTHAGUDEM,SEETHARAMPURAM,1049,773.0,3.0
KHAMMAM,KOTHAGUDEM,SINGABHUPALEM,1281,889.0,6.0
KHAMMAM,KOTHAGUDEM,SUJATHANAGAR,1900,1246.0,3.0
KHAMMAM,KOTHAGUDEM,VENKATESH KHANI,36,28.0,2.4959349593495936
KHAMMAM,KUSUMANCHI,BHAGAYATH VEEDU,109,94.0,1.0
KHAMMAM,KUSUMANCHI,CHEGOMMA,533,369.0,2.0
KHAMMAM,KUSUMANCHI,CHOWTAPALLI,532,401.0,1.0
KHAMMAM,KUSUMANCHI,ESWARAMADARAM,429,243.0,2.0
KHAMMAM,KUSUMANCHI,GAIGOLLAPALLI,848,640.0,4.0
KHAMMAM,KUSUMANCHI,GANGABANDA THANDA,171,133.0,2.4959349593495936
KHAMMAM,KUSUMANCHI,GATTU SINGARAM,699,470.0,1.0
KHAMMAM,KUSUMANCHI,GORILAPAD THANDA,422,306.0,1.0
KHAMMAM,KUSUMANCHI,GURVAIGUDEM,178,135.0,1.0
KHAMMAM,KUSUMANCHI,JAKKEPALLI,356,203.0,2.0
KHAMMAM,KUSUMANCHI,JEELACHERUVU,784,483.0,3.0
KHAMMAM,KUSUMANCHI,JUJJULARAOPETA,465,310.0,1.0
KHAMMAM,KUSUMANCHI,KISTAPURAM,275,163.0,1.0
KHAMMAM,KUSUMANCHI,KOKYA THANDA,333,226.0,2.0
KHAMMAM,KUSUMANCHI,KOTHURU,340,223.0,2.0
KHAMMAM,KUSUMANCHI,KUSUMANCHI,991,563.0,5.0
KHAMMAM,KUSUMANCHI,LOKYA THANDA,493,326.0,2.0
KHAMMAM,KUSUMANCHI,MALLAIGUDEM,208,128.0,1.0
KHAMMAM,KUSUMANCHI,MALLEPALLI,269,168.0,2.4959349593495936
